cell_number,character_count,line_count,return,for,if,using
4,72,1,0,0,0,0
6,41,2,0,0,0,0
8,37,1,0,1,0,0
10,17,4,0,0,0,0
12,33,6,0,1,0,0
15,56,22,2,1,3,0
16,54,3,0,0,0,0
19,55,6,0,0,0,1
21,52,1,0,0,0,0
22,58,2,0,0,0,0
24,57,5,0,0,0,1
27,126,5,0,0,0,2
28,78,1,0,0,0,1
30,57,5,0,0,0,1
35,25,16,1,5,0,1
36,33,1,0,0,0,0
37,26,2,0,0,0,0
38,12,2,0,0,0,1
39,44,14,1,7,0,0
40,33,1,0,0,0,0
41,26,2,0,0,0,0
42,44,12,1,2,0,0
43,33,1,0,0,0,0
44,50,3,0,1,0,0
45,44,14,1,5,0,0
46,33,1,0,0,0,0
47,61,2,0,1,0,0
50,6,5,0,1,0,0
52,8,3,0,0,0,0
54,6,9,0,0,0,0
56,6,8,0,0,0,0
58,6,10,2,0,1,0
60,14,7,0,0,0,0
