cell_number,character_count,line_count,#,##,###,####
1,144,9,-8,1,0,0
2,12,2,-2,0,1,0
3,12,1,3,1,1,0
5,12,1,3,1,1,0
7,12,1,3,1,1,0
9,13,1,3,1,1,0
11,13,1,3,1,1,0
13,27,1,2,1,0,0
14,84,7,0,0,0,0
17,33,2,-2,0,1,0
18,38,1,0,0,0,0
20,31,30,1307,-66,4,0
23,21,3,-5,-1,1,0
25,225,1,0,0,0,0
26,97,2,-2,0,1,0
29,13,2,-2,0,1,0
31,13,2,-2,0,1,0
32,47,1,1,0,0,0
33,205,5,0,0,0,0
34,106,6,-2,-4,1,0
48,140,1,1,0,0,0
49,12,1,3,1,1,0
51,12,1,3,1,1,0
53,12,1,3,1,1,0
55,12,1,3,1,1,0
57,12,1,3,1,1,0
59,12,1,3,1,1,0
